crop_path,error
outputs/stage2_crops/crops/cardd_yolo__002503/0_3.jpg,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 50.51117251s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '50s'}]}}"
outputs/stage2_crops/crops/cardd_yolo__003722/2_0.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499363, Requested 2664. Please try again in 5m50.2656s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__000163/2_1.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 498740, Requested 2665. Please try again in 4m2.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/sindhu_v9__image_436_jpg.rf.fc683fa9c8f6ddf09742b7b89f747121/0_3.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 498117, Requested 2853. Please try again in 2m47.616s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__001189/3_0.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 497494, Requested 2854. Please try again in 1m0.1344s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__002725/0_1.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499377, Requested 2853. Please try again in 6m25.344s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__003732/3_0.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 499372, Requested 2658. Please try again in 5m50.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__000225/2_0.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 498745, Requested 2663. Please try again in 4m3.3024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__003299/2_0.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 498117, Requested 2854. Please try again in 2m47.788799999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
outputs/stage2_crops/crops/cardd_yolo__003732/3_0.jpg,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01kpzm0fnpfb092at2ft99mpam` service tier `on_demand` on tokens per day (TPD): Limit 500000, Used 498845, Requested 2854. Please try again in 4m53.5872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
